ChIJ-b2UxxuB0IkRfy12a9dywKA,Winli Supermarket,42.4214602,-76.51819809999999,"374 Elmira Rd, Ithaca",4.5,134
ChIJd5TQDg6B0IkRbpGn-FwbWGE,Walmart Supercenter,42.4274297,-76.5140749,"135 Fairgrounds Memorial Pkwy, Ithaca",3.7,1558
ChIJd5TQDg6B0IkRhGPd9dIpA9U,Walmart Auto Care Centers,42.4267673,-76.5141804,"135 Fairgrounds Memorial Pkwy, Ithaca",3.1,61
ChIJiXIfOHOB0IkRZNLAO1LNoAA,Wegmans,42.4352902,-76.5107172,"500 S Meadow St, Ithaca",4.7,1829
ChIJnyNxx5yB0IkRDEEGfDb6sS8,GreenStar Food Co+op,42.440585,-76.5110773,"701 W Buffalo St, Ithaca",4.5,86
ChIJu5azXguB0IkRW00fbJOzsk8,TOPS Friendly Markets,42.4319462,-76.5103092,"710 S Meadow St, Ithaca",3.9,247
ChIJnyNxx5yB0IkR_AWpuhU8JyM,GreenStar DeWitt,42.4411831,-76.4986071,"215 N Cayuga St, Ithaca",4.3,53
ChIJD4uGXguB0IkRHSVoR6NRdxM,Ollie's Bargain Outlet,42.4311734,-76.5064999,"723 S Meadow St, Ithaca",4.3,306
ChIJX9kK_I2B0IkRP9Ord_YUMBw,GreenStar Collegetown,42.4406328,-76.48505,"307 College Ave, Ithaca",4.5,72
ChIJ5-97ln6B0IkRq07dvHjlK-o,ALDI,42.4493827,-76.506867,"505 3rd St, Ithaca",4.4,534
ChIJo_xxiqCB0IkRGtPV0B2GjAE,Farmers Market,42.45090620000001,-76.50936639999999,Ithaca,4.9,52
